var,mean,sd,state
B[903],56.158,1.366,
B[904],54.941,1.113,
B[905],43.94,1.897,
B[906],51.242,0.833,
B[907],49.732,1.003,
B[908],51.815,0.917,
B[909],57.362,4.315,
B[910],52.423,0.812,
B[911],52.308,0.79,
B[912],52.832,0.714,
B[913],53.13,0.729,
B[914],56.35,1.442,
B[915],48.513,1.211,
B[916],52.254,0.912,
B[917],48.111,1.242,
B[918],52.352,0.784,
B[919],59.907,3.236,
B[920],53.015,1.004,
B[921],50.396,1.153,
B[922],52.194,0.809,
B[923],52.281,0.763,
B[924],50.507,1.271,
B[925],52.723,1.478,
B[926],53.626,0.722,
B[927],56.146,1.32,
B[928],53.261,0.847,
B[929],52.615,0.756,
B[930],54.401,2.208,
B[931],54.041,0.76,
B[932],54.614,1.138,
B[933],52.972,0.822,
B[934],66.925,2.054,
B[935],49.229,1.009,
B[936],49.527,1.008,
B[937],48.547,1.087,
B[938],48.845,1.096,
B[939],53.183,0.876,
B[940],51.654,1.061,
B[941],48.758,1.061,
B[942],48.687,1.04,
B[943],52.565,0.731,
B[944],52.864,0.74,
B[945],53.395,0.784,
B[946],53.044,0.811,
B[947],53.882,0.811,
B[948],51.693,0.826,
B[949],51.394,0.84,
B[950],43.35,1.833,
B[951],52.632,0.719,
B[952],50.999,0.953,
B[953],52.727,0.994,
B[954],67.878,1.46,
B[955],53.225,0.799,
B[956],52.969,0.816,
B[957],53.727,0.816,
B[958],52.926,0.787,
B[959],52.67,0.804,
B[960],53.429,0.801,
B[961],51.78,0.758,
B[962],51.469,0.772,
B[963],53.059,0.742,
B[964],52.771,0.848,
B[965],52.068,0.766,
B[966],52.71,0.752,
B[967],53.547,0.767,
B[968],51.481,0.751,
B[969],51.17,0.759,
B[970],52.76,0.729,
B[971],52.472,0.83,
B[972],51.769,0.757,
B[973],52.411,0.743,
B[974],53.248,0.752,
B[975],53.446,0.743,
B[976],41.122,1.894,
B[977],50.774,0.951,
B[978],52.687,0.718,
B[979],52.986,0.73,
B[980],51.75,0.744,
B[981],51.439,0.743,
B[982],53.017,0.726,
B[983],52.716,0.831,
B[984],52.038,0.752,
B[985],52.678,0.717,
B[986],53.516,0.748,
B[987],49.481,0.97,
B[988],49.579,1.004,
B[989],48.887,1.062,
B[990],48.783,1.032,
B[991],48.331,1.246,
B[992],48.225,1.2,
B[993],48.15,1.193,
B[994],48.213,1.227,
B[995],49.292,1.036,
B[996],49.59,1.031,
B[997],48.61,1.114,
B[998],48.907,1.119,
B[999],43.532,1.612,
B[1000],43.823,1.621,
B[1001],43.471,1.599,
B[1002],43.762,1.611,
B[1003],53.235,0.804,
B[1004],65.307,1.545,
B[1005],51.175,0.956,
B[1006],50.865,0.955,
B[1007],52.454,0.949,
B[1008],52.164,1.036,
B[1009],51.463,0.954,
B[1010],52.103,0.928,
B[1011],52.941,0.954,
B[1012],53.095,0.786,
B[1013],52.968,0.753,
B[1014],53.394,0.775,
B[1015],53.267,0.745,
B[1016],52.982,0.722,
B[1017],53.469,0.742,
B[1018],43.417,1.837,
B[1019],52.019,0.769,
B[1020],51.708,0.783,
B[1021],53.297,0.761,
B[1022],52.307,0.784,
B[1023],53.008,0.865,
B[1024],52.947,0.759,
B[1025],53.784,0.778,
B[1026],51.72,0.768,
B[1027],51.409,0.775,
B[1028],52.998,0.754,
B[1029],52.008,0.781,
B[1030],52.709,0.853,
B[1031],52.648,0.755,
B[1032],53.485,0.769,
B[1033],42.993,1.909,
B[1034],50.843,1.018,
B[1035],50.533,1.032,
B[1036],52.121,1.015,
B[1037],51.832,1.098,
B[1038],51.77,1.011,
B[1039],52.608,1.015,
B[1040],46.765,2.04,
B[1041],65.496,1.533,
B[1042],54.005,0.964,
B[1043],56.589,1.504,
B[1044],51.983,0.758,
B[1045],53.245,0.749,
B[1046],52.604,0.8,
B[1047],52.902,0.805,
B[1048],52.541,0.77,
B[1049],52.84,0.779,
B[1050],51.601,0.789,
B[1051],51.9,0.795,
B[1052],51.664,0.82,
B[1053],51.963,0.822,
B[1054],49.23,1.009,
B[1055],52.772,0.772,
B[1056],51.871,0.796,
B[1057],62.673,1.877,
B[1058],51.084,0.953,
B[1059],49.606,1.085,
B[1060],48.757,1.17,
B[1061],68.666,2.126,
B[1062],52.923,1.036,
B[1063],53.022,0.738,
B[1064],53.374,0.822,
B[1065],41.046,2.353,
B[1066],40.935,2.342,
B[1067],52.723,0.725,
B[1068],68.637,1.533,
B[1069],53.076,0.769,
B[1070],52.777,0.777,
B[1071],62.859,2.423,
B[1072],51.371,0.968,
B[1073],52.073,1.04,
B[1074],51.456,0.767,
B[1075],52.972,0.822,
B[1076],48.46,2.185,
B[1077],48.163,2.175,
B[1078],41.38,1.9,
B[1079],41.666,1.91,
B[1080],41.454,1.893,
B[1081],41.74,1.901,
B[1082],62.143,1.827,
B[1083],64.579,1.456,
B[1084],52.418,0.768,
B[1085],50.056,0.952,
B[1086],51.99,0.756,
B[1087],53.589,0.723,
B[1088],56.144,1.32,
B[1089],53.336,0.842,
B[1090],56.697,1.765,
B[1091],52.584,0.759,
B[1092],53.464,0.804,
B[1093],54.066,0.754,
B[1094],51.711,0.848,
B[1095],52.24,0.829,
B[1096],51.412,0.833,
B[1097],51.941,0.82,
B[1098],53.425,0.793,
B[1099],56.001,1.53,
B[1100],49.713,1.195,
B[1101],41.74,2.361,
B[1102],67.748,2.039,
B[1103],53.232,0.738,
B[1104],52.933,0.726,
B[1105],52.005,0.771,
B[1106],51.776,0.754,
B[1107],67.95,1.449,
B[1108],53.38,0.736,
B[1109],52.958,0.849,
B[1110],52.391,0.772,
B[1111],48.54,1.21,
B[1112],53.106,0.772,
B[1113],49.317,1.132,
B[1114],53.741,0.766,
B[1115],53.96,0.795,
B[1116],61.444,1.835,
B[1117],52.244,0.759,
B[1118],53.474,0.769,
B[1119],52.346,0.852,
B[1120],61.482,1.835,
B[1121],56.343,2.866,
B[1122],49.551,1.08,
B[1123],49.865,1.013,
B[1124],47.272,3.284,
B[1125],52.416,1.006,
B[1126],51.669,0.758,
B[1127],53.43,0.774,
B[1128],53.079,0.795,
B[1129],53.917,0.801,
B[1130],53.43,0.774,
B[1131],53.079,0.795,
B[1132],53.917,0.801,
B[1133],51.845,0.79,
B[1134],51.732,0.754,
B[1135],52.144,0.783,
B[1136],52.031,0.749,
