var,mean,sd,state
A[352],51.157,0.768,
A[353],51.28,0.729,
A[354],56.004,1.184,
A[355],56.301,1.188,
A[356],55.297,0.999,
A[357],55.594,1.015,
A[358],52.575,0.828,
A[359],52.276,0.835,
A[360],37.161,1.364,
A[361],37.435,1.364,
A[362],52.969,1.03,
A[363],53.368,0.844,
A[364],52.092,0.896,
A[365],50.878,0.953,
A[366],52.768,0.766,
A[367],53.067,0.76,
A[368],53.079,0.771,
A[369],53.377,0.759,
A[370],51.776,0.841,
A[371],52.074,0.823,
A[372],52.483,0.799,
A[373],52.782,0.791,
A[374],58.613,2.09,
A[375],53.198,0.732,
A[376],53.49,0.733,
A[377],51.901,0.708,
A[378],52.216,0.655,
A[379],52.104,0.812,
A[380],52.897,0.756,
A[381],51.402,0.702,
A[382],51.854,0.789,
A[383],52.204,0.771,
A[384],51.367,0.787,
A[385],52.153,0.796,
A[386],52.503,0.781,
A[387],51.666,0.792,
A[388],54.848,0.974,
A[389],54.96,0.946,
A[390],53.912,0.929,
A[391],53.614,0.954,
A[392],54.223,0.933,
A[393],53.924,0.963,
A[394],53.625,0.958,
A[395],53.326,0.984,
A[396],52.985,0.879,
A[397],52.686,0.907,
A[398],52.147,0.904,
A[399],51.849,0.936,
A[400],52.481,0.796,
A[401],52.779,0.809,
A[402],52.55,0.768,
A[403],52.849,0.777,
A[404],52.792,0.79,
A[405],53.091,0.797,
A[406],52.87,0.764,
A[407],53.169,0.767,
A[408],51.226,0.763,
A[409],51.525,0.771,
A[410],51.301,0.732,
A[411],51.6,0.737,
A[412],51.574,0.861,
A[413],51.873,0.864,
A[414],51.645,0.838,
A[415],51.944,0.837,
A[416],52.217,0.82,
A[417],52.516,0.831,
A[418],52.293,0.789,
A[419],52.592,0.797,
A[420],51.553,0.738,
A[421],51.852,0.749,
A[422],51.626,0.711,
A[423],51.925,0.718,
A[424],50.74,0.761,
A[425],51.038,0.768,
A[426],50.815,0.736,
A[427],51.113,0.739,
A[428],56.341,1.166,
A[429],63.132,2.398,
A[430],44.969,3.214,
A[431],51.911,0.83,
A[432],52.21,0.837,
A[433],52.608,0.779,
A[434],54.863,0.949,
A[435],52.879,0.765,
A[436],51.275,0.729,
A[437],48.765,1.296,
A[438],51.628,0.833,
A[439],48.16,1.749,
A[440],52.254,0.786,
A[441],51.554,0.708,
A[442],50.809,0.735,
A[443],62.717,4.368,
A[444],51.923,0.793,
A[445],52.222,0.794,
A[446],48.856,1.312,
A[447],52.035,0.918,
A[448],52.521,0.935,
A[449],52.873,0.877,
A[450],52.891,0.756,
A[451],53.49,0.733,
A[452],52.19,0.791,
A[453],53.179,0.731,
A[454],51.868,1.011,
A[455],54.487,1.133,
A[456],55.169,1.245,
A[457],61.153,1.923,
A[458],48.137,1.872,
A[459],39.536,1.481,
A[460],56.729,1.397,
A[461],37.33,1.385,
A[462],52.564,0.771,
A[463],51.911,0.83,
A[464],51.791,1.004,
A[465],52.117,1.014,
A[466],50.508,0.978,
A[467],50.816,1.058,
A[468],50.839,0.957,
A[469],49.959,0.996,
A[470],58.09,4.29,
A[471],51.672,0.731,
A[472],51.996,0.683,
A[473],51.181,0.728,
A[474],61.316,1.62,
A[475],57.153,2.329,
A[476],52.205,0.781,
A[477],51.862,0.818,
A[478],51.374,0.806,
A[479],52.857,0.876,
A[480],53.453,0.838,
A[481],53.145,0.83,
A[482],52.159,0.891,
A[483],40.209,1.39,
A[484],55.375,0.953,
A[485],56.049,1.094,
A[486],56.616,1.2,
A[487],55.243,1.155,
A[488],55.541,1.145,
A[489],52.601,0.814,
A[490],52.679,0.776,
A[491],52.302,0.8,
A[492],52.381,0.766,
A[493],51.213,0.762,
A[494],51.563,0.722,
A[495],50.756,0.756,
A[496],51.723,0.824,
A[497],52.724,0.789,
A[498],52.804,0.76,
A[499],53.334,0.768,
A[500],53.415,0.748,
A[501],50.559,1.198,
A[502],49.723,1.199,
A[503],50.208,1.197,
A[504],51.754,0.727,
A[505],50.917,0.758,
A[506],51.404,0.756,
A[507],50.26,1.17,
A[508],49.425,1.174,
A[509],49.91,1.17,
A[510],51.456,0.74,
A[511],50.618,0.775,
A[512],51.105,0.772,
A[513],52.296,0.798,
A[514],52.691,0.776,
A[515],46.254,2.844,
A[516],54.489,1.331,
A[517],52.884,0.79,
A[518],36.76,1.336,
A[519],51.303,0.769,
A[520],48.916,1.295,
A[521],51.791,0.833,
A[522],52.293,0.822,
A[523],56.14,1.241,
A[524],51.528,0.815,
A[525],55.228,1.369,
A[526],49.683,1.064,
A[527],50.987,0.74,
A[528],53.127,0.813,
A[529],52.535,0.833,
A[530],53.425,0.801,
A[531],52.833,0.825,
A[532],49.689,1.05,
A[533],49.987,1.031,
A[534],49.626,1.06,
A[535],49.924,1.044,
A[536],52.423,0.766,
A[537],54.591,0.967,
A[538],52.782,0.775,
A[539],51.194,0.736,
A[540],48.592,1.29,
A[541],51.45,0.825,
A[542],48.024,1.746,
A[543],52.198,0.796,
A[544],51.487,0.708,
A[545],50.691,0.736,
A[546],51.9,0.782,
A[547],51.416,0.774,
A[548],52.26,0.745,
A[549],52.337,0.996,
A[550],48.47,1.322,
A[551],49.686,1.058,
A[552],51.217,0.727,
A[553],51.299,0.702,
A[554],50.918,0.738,
A[555],51.0,0.717,
A[556],51.771,0.708,
A[557],51.818,0.713,
A[558],59.638,2.362,
A[559],49.15,1.396,
A[560],57.902,4.275,
